# Ten-channel resonant ladder, W/L = 1000, L = 1 um, VDD = 5 V
# SMALL-SIGNAL run: drive 0.03 V RMS, chosen to keep the cross-coupled pairs
# linear.  At 1 V RMS the pairs intermodulate and, because the channel ladder
# is arithmetic, every sum of two channels lands on another channel.
# Excitation: white noise, new value every 0.5 ns (flat well past 200 MHz)
# Uniform sampling 500 ps (ngspice 'linearize'), 190 us total
# vin  = v(n05) - v(actm)   vout = v(actp) - v(actm)
#
# time[s]            vin[V]               vout[V]
2.145000000e-07 -8.519066600e-03 -1.529980300e-02
2.150000000e-07 1.400981030e-02 -9.959403950e-03
2.155000000e-07 2.488776580e-02 -1.415298790e-03
2.160000000e-07 1.738654530e-02 5.059478460e-03
2.165000000e-07 2.812474190e-02 1.024491820e-02
2.170000000e-07 1.649924870e-02 1.359356130e-02
2.175000000e-07 -1.542759460e-02 9.570589110e-03
2.180000000e-07 1.931693370e-02 7.516946810e-03
2.185000000e-07 3.216652400e-02 1.267587880e-02
2.190000000e-07 -5.564792660e-02 4.975845820e-03
2.195000000e-07 2.048846270e-02 -8.889140760e-04
2.200000000e-07 1.253075440e-02 4.059741200e-03
2.205000000e-07 -4.855615700e-02 -2.526918260e-03
2.210000000e-07 9.082164530e-03 -6.853926650e-03
2.215000000e-07 -6.946009300e-03 -4.561973930e-03
2.220000000e-07 -5.392077630e-02 -1.218242600e-02
