topology,d_in_mm,d_out_mm,n,layers,awg,d_wire_mm,l_h,length_m,m_h,k,fom,eta_max,emf_per_sqrtw,r_dc,r_ac,r_skin,r_prox,prox_layers,skin_um,skin_limited,r_ratio,q,l_uh
solenoid,1,53.21829129413814,200,8,8,3.2636432058836338,0.0018465218842719142,119.86056846461703,1.707082370678779e-08,0.0003947300335331741,1.8119260059731965e-08,4.5298149738945435e-09,0.002997302043841336,0.24070792306933367,319.14570543113473,2.1907688687128166,316.9549365624219,8,92.25496965451984,True,1325.8629020666167,18.17671203967735,1846.5218842719141
solenoid,1,79.32743694120721,200,12,8,3.2636432058836338,0.009684205307604306,278.22001288453134,2.86907737604148e-08,0.0002896897910958721,9.751681803033392e-09,2.4379204388714354e-09,0.002201657612067876,0.5587305509695487,1675.041256795314,5.085206508596191,1669.9560502867178,12,92.25496965451984,True,2997.941053856217,18.16303218013375,9684.205307604307
pancake,2,8.527286411767268,1,1,8,3.2636432058836338,7.26389922417248e-09,0.01653622282672185,4.0541505085291235e-10,0.004726480670995014,1.0791049882263043e-05,2.697747914819236e-06,0.001273456513165509,3.320858479998734e-05,0.00030224320340658774,0.00030224320340658774,0.0,1,92.25496965451984,True,9.101357532306011,75.50281422996413,0.00726389922417248
solenoid,2,8.527286411767268,1,1,8,3.2636432058836338,4.631145978422215e-10,0.006283185307179587,2.0173108202266545e-10,0.00931432754968317,7.0317925230081114e-06,1.757941950015931e-06,0.0006337204975176707,1.261809872024274e-05,0.00011484182783086214,0.00011484182783086214,0.0,1,92.25496965451984,True,9.101357532306011,12.66888071908871,0.0004631145978422215
pancake,2,15.054572823534535,2,1,8,3.2636432058836338,4.16617786539165e-08,0.053578520692528234,1.2040728792468723e-09,0.00586147334651029,3.723667588292825e-06,9.309151638647013e-07,0.003768178032839703,0.00010759814175946388,0.007726007983308122,0.0009792891579646268,0.006746718825343495,2,92.25496965451984,True,71.80428822441604,16.940745859621295,0.0416617786539165
solenoid,2,8.527286411767268,2,1,8,3.2636432058836338,1.2937117674287098e-09,0.012566370614359173,4.498644194788643e-10,0.012427558179055475,1.7484519730773803e-05,4.371091719557258e-06,0.0014131284784063725,2.523619744048548e-05,0.00022968365566172427,0.00022968365566172427,0.0,1,92.25496965451984,True,9.101357532306011,17.69527471472582,0.0012937117674287097
solenoid,2,15.054572823534535,2,2,8,3.2636432058836338,2.496622411401922e-08,0.0661448913068874,1.4185081049966437e-09,0.008920276430608698,4.186233130007463e-06,1.0465560919391198e-06,0.004435272856930794,0.00013283433919994935,0.00953807517801301,0.001208972813626351,0.00832910236438666,2,92.25496965451984,True,71.80428822441604,8.223221645944143,0.02496622411401922
pancake,2,21.5818592353018,3,1,8,3.2636432058836338,1.2329073678932156e-07,0.11112689359741913,1.9887010191184653e-09,0.005627651509325935,1.994579570443031e-06,4.986443953179199e-07,0.006128287785455177,0.00022316867087842957,0.03934668373764874,0.0020311378636741167,0.03731554587397463,3,92.25496965451984,True,176.30917271126606,9.844013171112328,0.12329073678932156
solenoid,2,8.527286411767268,3,1,8,3.2636432058836338,2.236322174942601e-09,0.01884955592153876,4.95501019383733e-10,0.010411188049979479,1.4141265042523104e-05,3.535291263929579e-06,0.0015563942766854456,3.785429616072822e-05,0.0003445254834925864,0.0003445254834925864,0.0,1,92.25496965451984,True,9.101357532306013,20.392144130060565,0.002236322174942601
solenoid,2,15.054572823534535,3,2,8,3.2636432058836338,4.642127877305705e-08,0.09921733696033111,1.6269549311411406e-09,0.007503085516385692,3.6712972863302264e-06,9.178226367834518e-07,0.00507505390822338,0.00019925150879992402,0.014307112767019516,0.0018134592204395266,0.01249365354657999,2,92.25496965451984,True,71.80428822441603,10.193303899851822,0.04642127877305705
pancake,2,34.63643205883634,5,1,8,3.2636432058836338,5.089411022839567e-07,0.2877418645244546,3.257949118679175e-09,0.0045376757386567336,7.136824998357203e-07,1.7842056129111972e-07,0.008993703135896028,0.0005778526455948288,0.29512367862442723,0.005259243528547453,0.2898644350958798,5,92.25496965451984,True,510.7248030691862,5.417679921508103,0.5089411022839567
